opcion_id,partida_id,proveedor,producto,precio_unit_mxn,estado_precio,fecha_precio,tienda_fisica,sucursal_o_zona,distancia_desde_coyoacan,enlace,recomendacion,notas
OPC-024,F0-018,Tienda de albercas / Mercado Libre,Hipoclorito de calcio 65% 1 kg,250,aprox,2026-09-18,no,solo en linea,,https://listado.mercadolibre.com.mx/hipoclorito-de-calcio,default,"CUIDADO: el cloro granulado de alberca suele traer estabilizante (acido cianurico), que NO sirve para alimentos. Pedir hipoclorito de calcio sin estabilizar"
OPC-025,F0-018,Supermercado,Hipoclorito de sodio 5-6% sin perfume ni detergente,40,aprox,2026-09-18,si,Cualquier super de Coyoacan,2 km,,alternativa,Sustituto presencial: se dosifica para la misma ppm de cloro libre. Verificar en la etiqueta que no traiga detergente
OPC-026,F0-019,Mercado Libre,Clamshell PET 8 oz,3.5,aprox,2026-09-18,no,solo en linea,,https://listado.mercadolibre.com.mx/clamshell,default,
OPC-027,F0-019,BurbuMoldes,Clamshell termoformado a medida,0,aprox,2026-09-18,si,"Reno 45, Granjas Cabrera, Tlahuac",16 km,https://burbumoldes-blister.com/empaques-blister-clamshells.html,alternativa,Fabricante: precio por millar. Vale la pena cuando el volumen lo justifique
OPC-028,F0-020,Dushi Imprenta,Etiquetas adhesivas tiraje chico,2.0,aprox,2026-09-18,si,"Jose Maria Bustillos 19-A, Algarin, Cuauhtemoc",10 km,https://www.imprentacdmx.com/servicios-de-impresion/impresion-de-etiquetas-adhesivas/,default,Precio unitario estimado sobre un tiraje de 300; pedir cotizacion por tiraje
OPC-029,F0-021,Steren / super,Termometro de cocina digital,150,aprox,2026-09-18,si,"Steren Miguel Angel de Quevedo, Asia 47, Coyoacan",3 km,,default,
OPC-030,F0-022,Amazon MX,Microgreens: The Insiders Secrets,396.6,verificado,2026-09-18,no,solo en linea,,https://www.amazon.com.mx/Microgreens-Insiders-Building-Successful-Microgreen/dp/191366600X,default,
OPC-031,F0-023,El Pendulo,El jardinero horticultor,488,verificado,2026-09-18,si,"El Pendulo, 8 sucursales CDMX (una en Coyoacan)",2 km,https://pendulo.com/libro/jardinero-horticultor-el_393665,default,
OPC-101,F1-001,Sodimac,PTR 1 1/2 x 1 1/2 cal 14,382.85,verificado,2026-09-18,si,"Sodimac Gran Sur, Periferico Sur 5550, Coyoacan",6 km,https://www.sodimac.com.mx/sodimac-mx/product/433713/ptr-1-1-2x1-1-2-calibre-14/433713,default,Precio de 5+ piezas. $403 por pieza suelta
OPC-102,F1-001,Perfiles Pacifico,PTR 1 1/2 cal 14,0,aprox,2026-09-18,si,"Av. Pacifico 301, La Candelaria, Coyoacan",3 km,,alternativa,EN COYOACAN. Acerera de barrio: pedir cotizacion por volumen y de paso pedir referencias de herrero
OPC-103,F1-001,Aceros Mixcoac,PTR 1 1/2 cal 14,0,aprox,2026-09-18,si,"Tiziano 68, Alfonso XIII, Alvaro Obregon",8 km,,alternativa,Tambien cortan a medida
OPC-104,F1-002,Sodimac / Perfiles Pacifico,PTR 1 pulg,275,aprox,2026-09-18,si,"Sodimac Gran Sur, Periferico Sur 5550, Coyoacan / Perfiles Pacifico, Coyoacan",6 km / 3 km,https://www.sodimac.com.mx/sodimac-mx/category/cat11448/PTR,default,
OPC-105,F1-003,Herrero local,Soldadura + primario + tornilleria,2000,aprox,2026-09-18,si,Pedir referencias en el mostrador de Perfiles Pacifico o Aceros Mixcoac,3 km,,default,Cobran $200-400 por dia. Las acereras conocen a los herreros del rumbo: es la via presencial para conseguirlo
OPC-106,F1-004,Home Depot / tlapaleria,Placa de solera + anclas de cuna 3/8 x 5,180,aprox,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan / Ferreteria Copilco, Av. A. Delfin Madrigal 137",4 km / 5 km,https://www.homedepot.com.mx/s/taquete,default,Las placas las suelda el herrero a partir de solera 3/16
OPC-107,F1-005,Hydro Environment,Plastico invernadero 25% sombra 6.2 m cal 720 (por metro),215,verificado,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/producto/metro-de-plastico-para-invernadero-25-sombra-6-2-m-de-ancho-cal-720/,default,UNICO mostrador verificado que lo corta por metro. Ningun proveedor del sur lo maneja: es viaje obligado
OPC-108,F1-005,invernaderosMX,Corte 7.2x10 m,137.5,aprox,2026-09-18,no,solo en linea,,https://www.invernaderosmx.com/collections/plastico-5-transparente,alternativa_austera,"$1,100 el corte completo, casi la mitad. CONFIRMAR espesor y garantia UV antes de pedir"
OPC-109,F1-006,Capi Agricola,Malla antigranizo negra 3.70 m (por metro),40,verificado,2026-09-18,no,"Texcoco, Edo. Mex. (60 km, direccion contraria)",60 km,https://www.capiagricola.com.mx/product/malla-antigranizo-negra-3-70-m-x-metro/,default,Esta lejos y en direccion contraria: conviene pedir envio
OPC-110,F1-006,Hydro Environment,Malla antigranizo,0,aprox,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,,alternativa,"PREGUNTAR EN EL MISMO VIAJE del plastico. Si la tiene, ahorras el pedido a Texcoco. Precio por confirmar"
OPC-111,F1-007,Hydro Environment,Perfil sujetador zigzag + resorte + cinta,1100,aprox,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/plastico-para-invernadero-y-campo/,default,Material de agricultura protegida: no lo hay en ferreteria. Mismo viaje que el plastico
OPC-112,F1-007,Ferreteria Copilco + herrero,Solera u omega galvanizada + pijas con rondana de neopreno,0,aprox,2026-09-18,si,"Ferreteria Copilco, Coyoacan",5 km,,alternativa,Sustituto de ferreteria si quieres evitar el viaje: el herrero fabrica la sujecion. Menos practico de destensar
OPC-113,F1-008,Home Depot,Husky 5 niveles ZROP361872,2019,verificado,2026-09-18,si,"Home Depot Copilco, Eje 10 #546, Coyoacan",5 km,https://www.homedepot.com.mx/p/husky-estante-de-5-niveles-de-acero-183-x-914-x-457-cm-negro-zrop361872-5llb-150281,default,Checa existencia por sucursal: 3 racks no siempre estan en piso
OPC-114,F1-009,Home Depot,Rotoplas Resistec 750 L,2051,verificado,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan",4 km,https://rotoplas.com.mx/products/almacenamiento/tinacos/,default,En piso en Home Depot y Sodimac. Cabe en auto? Mide antes: 750 L son ~1.2 m de diametro
OPC-115,F1-009,Home Depot / Sodimac,"Rotoplas Plus+ 1,100 L",3774,verificado,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan / Sodimac Gran Sur, Periferico Sur 5550, Coyoacan",4 km / 6 km,,alternativa,"Para tandeo duro. +$1,723"
OPC-116,F1-010,Tlapaleria + manual gratuito,Tlaloque casero de PVC 4 pulg + filtro de hojas + canaleta,1500,aprox,2026-09-18,si,Ferreteria Copilco / Home Depot Coyoacan,5 km,https://www.engineeringforchange.org/wp-content/uploads/2020/07/MANUAL-INSTALACI%C3%93N-KIT-TL%C3%81LOC-12-JUNIO-2019CH.pdf,default,Manual de instalacion oficial y gratuito de Isla Urbana
OPC-117,F1-010,Isla Urbana,Paquete Basico Tlaloc (tlaloque + filtro de hojas + axolote),5300,aprox,2026-09-18,si,"Isla Urbana, Callejon de Colima 23, Coyoacan",2 km,https://islaurbana.mx/product/paquete-basico-tlaloc/,alternativa,"EN COYOACAN, a 2 km. OJO: el agente de proveedores NO encontro ningun producto llamado ""Paquete Basico Tlaloc"" en el catalogo de Isla Urbana; los kits reales se llaman Tlaloc Urbano / Chaac Rural / Capta la Lluvia. El precio de $5,300 NO esta verificado contra un producto real: confirmalo en la tienda antes de presupuestarlo"
OPC-118,F1-010,SEDEMA,Programa Cosecha de Lluvia,0,verificado,2026-09-18,no,"Tramite en linea, convocatoria enero-febrero",,https://www.sedema.cdmx.gob.mx/programas/programa/cosecha-de-lluvia,alternativa,GRATIS si tu alcaldia califica. Sistema de ~$20k sin costo. programascall@sedema.cdmx.gob.mx
OPC-119,F1-011,UNIT Electronics,ESP32 DevKit V1 30 pines USB-C,130,aprox,2026-09-18,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",3 km,https://uelectronics.com/producto/esp32-devkit-v1-30-pines-usb-c-microusb/,default,"EN COYOACAN, mostrador. Lunes a viernes 8-17, NO abre sabado"
OPC-120,F1-012,Mercado Libre,Modulo SHT31-D,300,aprox,2026-09-18,no,solo en linea,,https://articulo.mercadolibre.com.mx/MLM-2050379399-modulo-de-sensor-de-humedad-sht31-temperatura-sht31-d-microc-_JM,alternativa,Lo que traia el BOM original
OPC-121,F1-012,UNIT Electronics,GY-SHT41 / SHT40-AD1B-R2,91,verificado,2026-09-18,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",3 km,https://uelectronics.com,default,"MEJOR Y MAS BARATO QUE EL SHT31: mismo fabricante (Sensirion), generacion mas nueva, $91 contra $300, y en mostrador en Coyoacan. En ESPHome se usa la plataforma sht4x"
OPC-122,F1-013,UNIT Electronics,DS18B20 acero inoxidable sumergible,35,aprox,2026-09-18,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",3 km,https://uelectronics.com/producto/ds18b20-sensor-de-temperatura-digital-de-acero-inoxidable-sumergible/,default,
OPC-123,F1-014,Amazon MX,Pack x10 capacitivo anticorrosivo,30,aprox,2026-09-18,no,solo en linea,,https://www.amazon.com.mx/GalaxyElec-capacitivo-resistente-corrosi%C3%B3n-anal%C3%B3gico/dp/B082HV1JMG,alternativa,$300 el pack de 10
OPC-124,F1-014,UNIT Electronics,Sensor de humedad de suelo capacitivo anticorrosivo,26,verificado,2026-09-18,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",3 km,https://uelectronics.com,default,$26 por pieza en mostrador en Coyoacan: mas barato por unidad que el pack de Amazon y puedes ver la calidad antes de pagar
OPC-125,F1-015,UNIT Electronics,Modulo relevador 5V 4 canales,110,aprox,2026-09-18,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",3 km,https://uelectronics.com/producto/relevador-5v-de-1-a-8-canales/,default,
OPC-126,F1-016,Steren,Eliminador regulado 12 VCC 5 A ELI-1260,399,verificado,2026-09-18,si,"Steren Miguel Angel de Quevedo, Asia 47, Coyoacan",3 km,https://www.steren.com.mx/eliminador-regulado-de-12-vcc-5-a.html,default,Garantia nacional y sucursal fisica a 3 km. Abre hasta tarde y domingos
OPC-127,F1-016,UNIT Electronics,Mean Well XLG-75-12-A IP67,0,aprox,2026-09-18,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",3 km,https://uelectronics.com/producto/xlg-75-12-a-fuente-conmutada-12v-5a-ip67-mean-well/,alternativa,Para intemperie sin gabinete. Precio por confirmar
OPC-128,F1-017,Mercado Libre,Bomba de diafragma 12 V con presostato,350,aprox,2026-09-18,no,solo en linea,,https://listado.mercadolibre.com.mx/bomba-de-agua-diafragma-12v,default,"Producto de nicho (casas rodantes, nautica): no hay mostrador en el sur"
OPC-129,F1-017,Hydro Environment,Bomba de diafragma para riego,0,aprox,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,,alternativa,"UNICO mostrador realista. Llamar antes con el dato de caudal y presion, y aprovechar el viaje del plastico"
OPC-130,F1-018,Mercado Libre / Hydro Environment,Kit nebulizadores de riego,250,aprox,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://listado.mercadolibre.com.mx/nebulizadores-de-riego,default,
OPC-131,F1-019,UNIT Electronics,JSN-SR04T ultrasonico contra agua,150,aprox,2026-09-18,si,"UNIT Electronics Copilco, Av. Copilco 357, Coyoacan",3 km,https://uelectronics.com/producto/sensor-ultrasonico-jns-sr04t/,default,
OPC-132,F1-020,Mercado Libre,Mini PC Lenovo ThinkCentre usada i5/8GB/SSD,3000,aprox,2026-09-18,no,solo en linea / bazares de computo,,https://listado.mercadolibre.com.mx/mini-pc-lenovo-thinkcentre,default,Por definicion es equipo usado: no hay mostrador
OPC-133,F1-020,AG Electronica,Raspberry Pi 5 4GB,3069,verificado,2026-09-18,si,"AG Electronica, Rep. de El Salvador 20-F, Centro",11 km,https://agelectronica.com,alternativa,PRESENCIAL con garantia y asesoria: AG es distribuidor oficial de Raspberry Pi en Mexico. Es la alternativa presencial al mini PC usado
OPC-134,F1-021,Steren,No-break 500-700 VA,900,aprox,2026-09-18,si,"Steren Miguel Angel de Quevedo, Asia 47, Coyoacan",3 km,,default,Steren Miguel Angel de Quevedo abre hasta las 20:30 y domingos
OPC-135,F1-021,Cyberpuerta,DataShield DS-600,1189,verificado,2026-09-18,no,solo en linea,,https://www.cyberpuerta.mx,alternativa,"Si lo compras desde Fase 1, el delta real es +$289, no +$1,189"
OPC-136,F1-022,Home Depot / AG Electronica,Gabinete plastico exterior IP65,350,aprox,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan / AG Electronica, Rep. de El Salvador 20-F, Centro",4 km / 11 km,https://listado.mercadolibre.com.mx/gabinete-plastico-exterior-ip65,default,POR VERIFICAR EN PISO: confirmar el grado IP65 exacto en la etiqueta. Buscar en el pasillo de electrico de Home Depot y en el mostrador de AG
OPC-137,F1-023,AG Electronica,"Cable, borneras, fusibles, termofit",1000,aprox,2026-09-18,si,"AG Electronica, Rep. de El Salvador 20-F, Centro",11 km,https://agelectronica.com,default,Mostrador con ingenieros. Es el plan B del mismo dia cuando algo truena en viernes
OPC-138,F1-023,Master Electronicos,"Mismo surtido, menudeo",0,aprox,2026-09-18,si,"Rep. del Salvador 9-D, Centro",11 km,,alternativa,A media cuadra de AG y de UNIT Centro: se hacen las tres en una sola parada
OPC-139,F1-024,JWJ Light,Tubo LED T8 18W 120 cm,121,verificado,2026-09-18,no,solo en linea,,https://jwjlight.mx/producto/tubo-led-t8-18w-120-cm/,default,
OPC-140,F1-024,Home Depot,Tubo LED T8 18W 6500K,0,aprox,2026-09-18,si,"Home Depot Copilco, Eje 10 #546, Coyoacan",5 km,,alternativa,"En piso, junto con las canaletas del mismo pasillo. Precio por confirmar"
OPC-141,F1-025,Home Depot / Ferreteria Copilco,Canaleta para T8 + cable,400,aprox,2026-09-18,si,"Home Depot Copilco, Eje 10 #546, Coyoacan",5 km,,default,Mismo pasillo que los tubos
OPC-142,F1-026,Mercado Libre,Tapete termico de germinacion,380,aprox,2026-09-18,no,solo en linea,,https://listado.mercadolibre.com.mx/tapete-termico-germinacion,default,No se confirmo existencia en piso en ningun mostrador
OPC-143,F1-027,Hydro Environment,Malla sombra 35% 3.7 m (por metro),129,verificado,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/producto/malla-sombra-por-metro-al-35-de-3-7-m-de-ancho/,default,
OPC-144,F1-027,Al Natural,Malla sombra 35-50%,0,aprox,2026-09-18,si,"Al Natural, Torres Adalid 1957, Narvarte, Benito Juarez",9 km,,alternativa,MUCHO mas cerca. Precio por confirmar en piso
OPC-145,F1-028,Soluciones Naturales Pro,Jabon potasico 1 kg,250,verificado,2026-09-18,no,solo en linea,,https://solucionesnaturalespro.com.mx/product/jabon-potasico/,default,
OPC-146,F1-028,El Chino (Xochimilco),Jabon potasico,0,aprox,2026-09-18,si,"Mercado de Cuemanco / El Chino, Xochimilco",14 km,,alternativa,Agroquimicos con mostrador. Precio por confirmar
OPC-147,F1-029,El Chino / Cuemanco,Trampas amarillas pegajosas,150,aprox,2026-09-18,si,"Mercado de Cuemanco / El Chino, Xochimilco",14 km,https://listado.mercadolibre.com.mx/trampas-amarillas-pegajosas,default,
OPC-148,F1-030,Valent / Mercado Libre,Gnatrol DG (Bti) 500 g,800,aprox,2026-09-18,no,solo en linea / distribuidor agricola,,http://www.valent.mx/productos/insecticidas/gnatrol,alternativa,"Se mueve por distribuidor agricola formal, no por mostrador"
OPC-149,F1-030,Semillas y Agroquimicos El Chino,Formulado de Bacillus thuringiensis var. israelensis,0,aprox,2026-09-18,si,"Av. Guadalupe I. Ramirez, Barrio San Marcos, Xochimilco",14 km,,default,PRESENCIAL: cualquier formulado de Bti israelensis sirve. Precio por confirmar en piso
OPC-150,F1-031,Home Depot / Ferreteria Copilco,Rotomartillo + brocas + niveles,1600,aprox,2026-09-18,si,"Home Depot Copilco, Eje 10 #546, Coyoacan",5 km,,default,
OPC-151,F1-032,Home Depot,Square D QO120GFI,1159,verificado,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan",4 km,https://www.homedepot.com.mx/s/interruptor%20falla%20a%20tierra,default,
OPC-152,F1-032,Home Depot,Contacto GFCI Square D,389,verificado,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan",4 km,,alternativa_austera,"Alternativa minima: protege el punto, no el circuito. Ahorra $770"
OPC-153,F1-033,Home Depot / Ferreteria Copilco,Tapa in-use + varilla + cable cal 8,900,aprox,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan",4 km,https://www.homedepot.com.mx/s/tapa%20intemperie,default,
OPC-154,F1-034,Electricista local,Instalacion GFCI + tierra + contacto exterior,2500,aprox,2026-09-18,si,"Pedir referencias en Electrica Evolucion (Col. Espartaco, Coyoacan)",3 km,,default,Las casas de material electrico del rumbo conocen a los electricistas: es la via presencial
OPC-201,F2-001,Home Depot,Amanco Wavin tubo sanitario 4 pulg x 6 m blanco,415,verificado,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan",4 km,https://www.homedepot.com.mx/p/amanco-wavin-tubo-sanitario-11-x-600-cm-blanco-amanco-942842-451963,default,Tramos de 6 m: NO caben en un auto normal. Preguntar por corte a 3 m o por entrega a domicilio
OPC-202,F2-002,Home Depot,Conexiones sanitarias Amanco 4 pulg,600,verificado,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan",4 km,https://www.homedepot.com.mx/p/amanco-wavin-codo-pvc-4-513695-513695,default,
OPC-203,F2-003,Home Depot / Ferreteria Copilco,"Tuberia, valvulas y conexiones",750,aprox,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan",4 km,https://www.homedepot.com.mx/b/plomeria/tuberias-y-conexiones/sanitarias,default,
OPC-204,F2-004,Home Depot / Ferreteria Copilco,Cemento PVC 240 mL + limpiador + teflon + lima,280,aprox,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan",4 km,,default,Mismo pasillo que el tubo
OPC-205,F2-005,Hydro Environment,Canastilla hidroponica 3 pulg,12.8,verificado,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/producto/canastilla-hidroponica-de-3-pulgadas/,default,
OPC-206,F2-005,Al Natural,Canastilla hidroponica 3 pulg,0,aprox,2026-09-18,si,"Al Natural, Torres Adalid 1957, Narvarte, Benito Juarez",9 km,,alternativa,Mucho mas cerca. Precio y existencia por confirmar
OPC-207,F2-006,Home Depot,Truper sierra corta circulos bimetalica,300,aprox,2026-09-18,si,"Home Depot Copilco, Eje 10 #546, Coyoacan",5 km,https://listado.mercadolibre.com.mx/truper-sierra-corta-circulos-bimetalica,default,
OPC-208,F2-007,Hydro Environment,Bomba sumergible 4500 LPH,1199,verificado,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/producto/bomba-sumergible-4500-lph-para-hidroponia-y-estanques/,default,
OPC-209,F2-008,Hydro Environment,Filtro de malla 1 pulg macho-macho,230,verificado,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/producto/filtro-de-malla-para-riego-de-1-pulgada-con-salida-y-entrada-tipo-macho/,default,
OPC-210,F2-009,Mercado Libre,Tambo HDPE 200 L grado alimenticio,700,aprox,2026-09-18,no,solo en linea,,https://listado.mercadolibre.com.mx/tambos-de-200-litros,alternativa,Los fabricantes (Plastank) no venden al publico en mostrador
OPC-211,F2-009,Home Depot / Sodimac,Tinaco Rotoplas 450-750 L certificado para agua potable,0,aprox,2026-09-18,si,"Home Depot Coapa del Hueso, Calz. del Hueso 670, Coyoacan / Sodimac Gran Sur, Periferico Sur 5550, Coyoacan",4 km / 6 km,,default,"SUSTITUTO PRESENCIAL equivalente: certificado para agua potable, en piso, y ya sabes que cabe. Precio segun capacidad"
OPC-212,F2-010,Hydro Environment,Semillero foami agricola 144 bloques 30x30,45.5,verificado,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/producto/semillero-de-foami-agricola-de-144-bloques-30x30-cm/,default,
OPC-213,F2-011,Hydro Environment,Solucion nutritiva hortalizas 1.5 kg,349,verificado,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/producto/solucion-nutritiva-para-hortalizas-de-1-5-kg-rinde-para-1000-litros/,default,
OPC-214,F2-011,Al Natural,Solucion nutritiva hidroponica,0,aprox,2026-09-18,si,"Al Natural, Torres Adalid 1957, Narvarte, Benito Juarez",9 km,,alternativa,Mucho mas cerca. Precio por confirmar
OPC-215,F2-012,Hydro Environment,AquAcid buffer pH-,516,verificado,2026-09-18,si,"Hydro Environment, Av. Toltecas 41, Tlalnepantla",38 km,https://hydroenv.com.mx/producto/aquacid-buffer-para-bajar-ph-regulador-de-ph-para-hidroponia/,default,
